User_name,Datetime,Content,Links,Tweet_ID
skift,2020-07-04T23:59:59.000Z,Nothing like a world-shattering crisis to force companies to look into the mirror and contemplate a makeover. Will consumer travel preferences change forever because of coronavirus? Forever is a very long time.  skft.it/2NJEH5f,https://t.co/zKZyQbiA2r,1279565653943422976
ketz33,2020-07-04T23:59:59.000Z,You mean breaking quarantine rulings?,,1279565653733707778
David37709986,2020-07-04T23:59:59.000Z,Covid-19 is winning Donald J Trump is losing. The reason covid-19 is winning because of Donald Trump and his administration's failure to manage the virus.. Donald j Trump is a failure and a loser,,1279565653695885313
_ModeRN_Life,2020-07-04T23:59:59.000Z,Forgot what it’s like to have non covid pts like,,1279565651984756737
VernWatcher,2020-07-04T23:59:58.000Z,They could have survived the pandemic had politicians not overreacted to it.,,1279565649015115777
rodglez_,2020-07-04T23:59:58.000Z,today can make or break quarantine,,1279565647341445120
tinaturnacorner,2020-07-04T23:59:58.000Z,"I can already see the ""I Contracted Covid-19 During July 4th Weekend Because I Didn't Wear A Mask Or Social Distance. Learn From My Mistake :("" posts in about 2-3 weeks",,1279565646817361921
tknight84,2020-07-04T23:59:57.000Z,Love the #Superman mask!,https://x.com/hashtag/Superman?src=hashtag_click,1279565644384686087
Ayebriaannaa,2020-07-04T23:59:57.000Z,I haven’t been able to hold my girlfriend because I unfortunately got Covid and Today she came to drop off something and us being 6 feet apart I instantly started crying! Cause I’ve never missed her so much and now I can’t stop crying,,1279565643881295873
MattFingersArni,2020-07-04T23:59:57.000Z,"I would agree, there will be more heart attacks or missed screening and delayed in treatment. People, through fear of coronavirus, avoiding hospitals etc. They are, therefore, in such instances, a covid related death.",,1279565643520577541
cgutfive,2020-07-04T23:59:57.000Z,"Shouldn’t we be defending our soldiers in Afghanistan, the ones that Russia put a bounty on? Or many we need a national plan to tackle Covid-19 or could we work on un-employment or how about racial inequality or maybe we can get testing and contact tracing for Covid-19",,1279565642673254400
Sibby229,2020-07-04T23:59:56.000Z,Those people had mask stop it,,1279565641360510979
BirdieOnceSaid,2020-07-04T23:59:56.000Z,You're joking right? The mask is intended to prevent/minimize the spread of the virus. Many people don't know they are carriers and masks help minimize the spread. You're reading the data incorrectly; does that make sense?,,1279565641347772416
avkershner,2020-07-04T23:59:56.000Z,"Like, what do they think is gonna happen? COVID is just gonna be like “naw, next time tho for sure.” Smh",,1279565639271641090
mabel8ble,2020-07-04T23:59:55.000Z,#COVID-19? Stay home. what else?,https://x.com/hashtag/COVID?src=hashtag_click,1279565637136773120
mdeyoungcan,2020-07-04T23:59:55.000Z,I need a mask!!!!,,1279565636679512065
CHTenantUnion,2020-07-04T23:59:55.000Z,"We do understand. And we agree the current system is a total sh*tshow. Based on DOF and Acris records, most of our landlords are still making more than enough to cover mortgages, utilities and property taxes even during the pandemic. Those who aren't should get help.",,1279565635480096768
trapdinawrpool,2020-07-04T23:59:55.000Z,Latvia-bound military plane turned back after Canadian troops possibly exposed to COVID-19 | CBC News,,1279565634804887552
