User_name,Datetime,Content,Links,Tweet_ID
greg_travis,2020-06-16T23:59:59.000Z,"OMG.  The world-wide consensus, borne out by comparisons to its peers, is that Sweden shit the bed in its pandemic response.  Killing 5-10x as many of its own citizens for no benefit, compared to every single one of its peers.  Three months ago, we knew nothing about transmission",,1273042671817424896
PureSalvato,2020-06-16T23:59:59.000Z,"I don't think lockdown is what she or anyone is asking. Seems like we already know what works by looking at countries with open economies, such as NZ and South Korea. The three things they're doing that are making it a success: Masks. Social Distancing. Hand washing.",,1273042671473291264
rueby_V,2020-06-16T23:59:59.000Z,My covid beard is *chef’s kiss*,,1273042671221735425
HinmanMaryjane,2020-06-16T23:59:59.000Z,They should give you 2 weeks at home Covid pay without tapping into your own PTO. If you have a union let them know.,,1273042669502070785
merkimchi,2020-06-16T23:59:58.000Z,Zoom is putting people in danger during COVID-19. Sign the petition to get them to fix their privacy and security flaws:  actionnetwork.org/petitions/tell …,https://t.co/DoNSI0LOzZ,1273042667681787904
CANURB,2020-06-16T23:59:58.000Z,"' @thehappycity  finds 'the health gap for poor, racialized Canadians, who suffer disproportionately from a host of life-shortening conditions beyond COVID-19, is well documented. Neighbourhood design can help...now is the time to act.  shorturl.at/twUVZ #bringbackmainstreet",https://x.com/thehappycity https://t.co/6Kurj5AYOx https://x.com/hashtag/bringbackmainstreet?src=hashtag_click,1273042666213838851
MikeTeSelleTV,2020-06-16T23:59:58.000Z,Jury duty will look dramatically different in Sacramento Superior Court  kcra.com/article/jury-d …,https://t.co/Ei6O0JV4to,1273042666209476608
TravelNomad,2020-06-16T23:59:58.000Z,lol...he won't...Tulsa will be stuck with the bill and 10k more coronavirus victims  t.co/cK5Hbijj3Q,https://t.co/cK5Hbijj3Q,1273042666100387840
Mpharns,2020-06-16T23:59:58.000Z,"#Trump pushed to open and his cronies bowed to him.... now we’re gonna deal with the #Covid19 in a more drastic way. With our president, it’s all about the money- not the people   thehill.com/changing-ameri …",https://x.com/hashtag/Trump?src=hashtag_click https://x.com/hashtag/Covid19?src=hashtag_click https://t.co/0Q91chRbnD,1273042665928642560
HarrisonAB,2020-06-16T23:59:58.000Z,"More protection for commercial tenants in #Alberta:  Proposed legislation will safeguard businesses from eviction, and more, as Alberta deals with the effects of the #COVID19 #Pandemic -  ow.ly/hm8n30qQES8",https://x.com/hashtag/Alberta?src=hashtag_click https://x.com/hashtag/COVID19?src=hashtag_click https://x.com/hashtag/Pandemic?src=hashtag_click https://t.co/Rkhq5TL4w6,1273042665832136705
Melanism,2020-06-16T23:59:57.000Z,*Coronavirus cases reach new highs* @VP :,https://x.com/VP,1273042663198068737
JessicaSerenity,2020-06-16T23:59:57.000Z,If we werent in the middle of pandemic I promise u I wouldve booked myself a solo trip somewhere to find myself.. sigh.,,1273042662648623104
RebeccaATXNews,2020-06-16T23:59:57.000Z,Please wear a mask in public. You are protecting me and I am protecting you. Simple as that. #WearAMask #COVID19 #Austin #ATX,https://x.com/hashtag/WearAMask?src=hashtag_click https://x.com/hashtag/COVID19?src=hashtag_click https://x.com/hashtag/Austin?src=hashtag_click https://x.com/hashtag/ATX?src=hashtag_click,1273042661084102662
edperduee,2020-06-16T23:59:56.000Z,I wore a mask most of the day working and let me tell ya.... I hated it. Lol. You guys that do it every day all day are MVP’s.,,1273042660337598464
InnerSelfcom,2020-06-16T23:59:55.000Z,Why Reopening Schools Requires Major Caution: A new analysis stresses the need for caution when when reopening America’s schools. A new analysis stresses the need for caution when when reopening America’s schools. The authors advocate for large-scale viral  tinyurl.com/y6w694sb,https://t.co/TMoC5xrv0f,1273042656604676097
vshastry,2020-06-16T23:59:55.000Z,Martin Wolf —How Covid-19 will change the world  ft.com/content/9b8223 …,https://t.co/LqbyRRovuP,1273042656537575424
KristieKMusick,2020-06-16T23:59:55.000Z,Same here.  Blessed to be allowed to work from home for the last 3 months; limiting trips out to very strategic shopping or appointments.  ALWAYS with a mask & hand sanitizer!,,1273042655606452224
firefox712002,2020-06-16T23:59:55.000Z,Apparently someone tried to explain PrEP to him and he just didn't get it ... NO - we do NOT have an AIDS vaccine.  x.com/RadioFreeTom/s …,https://x.com/RadioFreeTom/status/1272935550329262080,1273042652766900225
jess_heartz,2020-06-16T23:59:54.000Z,I love wearing a face mask because from the eyes up people are deceived into thinking I’m pretty,,1273042651886112774
Blink_Ensu,2020-06-16T23:59:54.000Z,"Think about that next time you go for a walk and a person goes jogging by (wearing a mask or not)  the droplets stay in the air behind them for hours, or until the wind blows them away",,1273042650933932033
roshbeth,2020-06-16T23:59:54.000Z,"I do know that (lived in & around London & SE England for 40+ years). Was letting off steam re what's on the news here tonight, which includes reports re first day of Royal Ascot but not news of a Covid at a newly reopened school in Epsom.",,1273042650774540288
Sandeep19601,2020-06-16T23:59:54.000Z,Jobs at Glenary’s taste like its confectionery  telegraphindia.com/states/west-be …,https://t.co/xRFYByr8xL,1273042650279686145
PnPCBC,2020-06-16T23:59:54.000Z,"“I have my moments where I am completely overwhelmed by the sadness,” said former governor general  @MichaelleJeanF  who lost 4 family members to COVID-19. “I find that we rushed into measures of prevention to control the spread of the virus, but we left aside the human dimension.”",https://x.com/MichaelleJeanF,1273042650082488320
kimdawnnn,2020-06-16T23:59:53.000Z,Wear. A. Mask. Keep. A. 6FT DISTANCE. WEAR. A. MASK. WASH. YOUR. HANDS.,,1273042647867953154
bmckee42,2020-06-16T23:59:53.000Z,"Speculation about Biden’s leadership doesn’t change the fact that what happened has happened. Deflecting blame doesn’t bring back lost lives. The country as a whole mismanaged the pandemic, I don’t think this is entirely partisan, it was an overall failure from leadership.",,1273042647863738373
VocesUnidasRGV,2020-06-16T23:59:50.000Z,"As COVID-19 cases/quarantines at the Port Isabel Detention Center increase, ppl detained are pleading to be released. They say ICE “quiere tapar el sol con un dedo/wants to cover the sun with a finger.” Let's uncover what they’re sharing 1/N",,1273042635306008576
celimarrivera,2020-06-16T23:59:50.000Z,: THANK YOU for being my light #Covid19 #Coronavirus #PFEColleague  bit.ly/2AxqQfn,https://x.com/hashtag/Covid19?src=hashtag_click https://x.com/hashtag/Coronavirus?src=hashtag_click https://x.com/hashtag/PFEColleague?src=hashtag_click https://t.co/7f6DHkLQvp,1273042634773274626
CuriouslyCory,2020-06-16T23:59:50.000Z,"Just as I reject your attitude towards me, I understand that there's a lifetime of experience, a few really gnarly months of Covid, and police brutality, weighing on this conversation from both sides.",,1273042634269814784
MeanmuthaC,2020-06-16T23:59:50.000Z,Listened to a CBC interview this morning on Brasil - where the president doesn't believe in Covid  and the testing hasn't been widely available.   the cases and deaths are likely significantly under reported.,,1273042633351409666
SkylarJameson1,2020-06-16T23:59:50.000Z,Follow the money. The fact that most don’t wear a mask means that customers don’t think it’s necessary and if one place requires a mask most will go elsewhere.,,1273042632168615938
Barbara102006,2020-06-16T23:59:49.000Z,"The mask at Costco seems to tame the shoppers and they’re keeping their party manners, thank God!",,1273042631220740097
TriTownIceArena,2020-06-16T23:59:49.000Z,Well...it’s been 2 days and we just want to thank our staff and customers for all their efforts and cooperation following the Reopening Guidelines! You guys are the best!!,,1273042630184763393
chesscat48,2020-06-16T23:59:49.000Z,"Coronavirus can infect the brain and replicate, new study claims  nypost.com/2020/06/15/cor … via  @nypost",https://t.co/IRDqzehaPd https://x.com/nypost,1273042628494479360
EduardoZuniga1,2020-06-16T23:59:48.000Z,Dexamethasone reduces death in hospitalised patients with severe respiratory complications of COVID-19 | University of Oxford  ox.ac.uk/news/2020-06-1 …,https://t.co/M9VxnQhduv,1273042626023960577
dragaby_echo,2020-06-16T23:59:48.000Z,"COVID-19: FDA Pulls Authorization for Hydroxychloroquine, Chloroquine / Mask Sterilization / Breast-Feeding / Testing Recommendations  jwatch.org/fw116738/2020/ …",https://t.co/j4e7QDDjXL,1273042623742316545
tumbleweedjurny,2020-06-16T23:59:48.000Z,Modi trying to distract the Indian public from how BAD the pandemic is in India,,1273042623645847553
winking4,2020-06-16T23:59:47.000Z,"They don't believe in it in Florida either except for the overflowing ICUs and funeral homes, that social distancing is just for those northern States with flattened and falling COVID-19 infection and death rates. Passing the plague just like ""real men""! Dead men tell no tales?",,1273042620831457280
celimarrivera,2020-06-16T23:59:47.000Z,: THANK YOU for being my light #Covid19 #Coronavirus #PFEColleague  bit.ly/2zCTJpQ,https://x.com/hashtag/Covid19?src=hashtag_click https://x.com/hashtag/Coronavirus?src=hashtag_click https://x.com/hashtag/PFEColleague?src=hashtag_click https://t.co/qlBE2NLWVQ,1273042620634116096
bobmyers,2020-06-16T23:59:46.000Z,"I understand that people may be cutting back on water delivery given the pandemic and the economy, and cancelling their water deliveries, but it's a horrible, horrible idea to try to suck money out of people on their way out the door.",,1273042618709049345
owenjamesja,2020-06-16T23:59:46.000Z,Agreed! Violent crime has been Jamaica's true pandemic. The numbers tell it all. Over 600 killed so far in 2020. Covid19 fatalities are a tiny fraction of murders!,,1273042618226745345
brian_dot_exe,2020-06-16T23:59:46.000Z,"I don’t care how bad a #SecondWave gets. They botched the initial lockdown in the US so badly, they won’t be able to impose a second one",https://x.com/hashtag/SecondWave?src=hashtag_click,1273042617220190209
Rizzity2,2020-06-16T23:59:46.000Z,omg I have coronavirus and im gonna die tomorrow please give me all your money so I can live,,1273042616683302915
starwarsdcfan,2020-06-16T23:59:46.000Z,"Hey  @dougducey  you really need to shut down the state again,  this is not going to get better. More and more will die because of your inaction! Say you were wrong and save some lives! #Arizona #Covid_19",https://x.com/dougducey https://x.com/hashtag/Arizona?src=hashtag_click https://x.com/hashtag/Covid_19?src=hashtag_click https://x.com/hashtag/Covid_19?src=hashtag_click,1273042616544706560
iamshaunbailey,2020-06-16T23:59:46.000Z,Trump declares there’s a vaccine for aids  #inother2020news,https://x.com/hashtag/inother2020news?src=hashtag_click,1273042616242900993
CurcuruVince,2020-06-16T23:59:46.000Z,I just signed a  @commoncause  petition to Congress: Demand transparency for Trump’s COVID-19 spending. Sign here:  actionnetwork.org/petitions/dema …,https://x.com/commoncause https://t.co/AWwwkVvVps,1273042616163217408
garniermtgs,2020-06-16T23:59:46.000Z,After this lockdown. Defiantly playing  youtu.be/ElFDlShmOng,https://t.co/rTpgsKrl2g,1273042614925717504
Moonknights1,2020-06-16T23:59:45.000Z,Did you wear a mask?,,1273042612786692096
JCVWines,2020-06-16T23:59:45.000Z,Jericho Canyon Reopening June 19th -  mailchi.mp/88764f4787a6/2 … #napa #wineries #calistoga #visitnapavalley #winetasting #cabernet #luxurybrand #cabernetsauvignon #estategrown,https://t.co/jS4zJLKe7h https://x.com/hashtag/napa?src=hashtag_click https://x.com/hashtag/wineries?src=hashtag_click https://x.com/hashtag/calistoga?src=hashtag_click https://x.com/hashtag/visitnapavalley?src=hashtag_click https://x.com/hashtag/winetasting?src=hashtag_click https://x.com/hashtag/cabernet?src=hashtag_click https://x.com/hashtag/luxurybrand?src=hashtag_click https://x.com/hashtag/cabernetsauvignon?src=hashtag_click https://x.com/hashtag/estategrown?src=hashtag_click,1273042610882580482
HannahSOskin,2020-06-16T23:59:44.000Z,Progress  They have been social distancing (with lots of hissing and barking at one another) but they are willingly sitting together now.,,1273042610278608898
icjtv24,2020-06-16T23:59:44.000Z,"Coronavirus Outbreak: Olympic Gold Quest, GoSports Foundation join hands to raise funds for grassroots hockey personnel – Firstpost  icj24.com/coronavirus-ou …",https://t.co/r8Q6QsUTBe,1273042609615900673
