User_name,Datetime,Content,Links,Tweet_ID
Laura_A_Diaz,2020-04-03T23:59:59.000Z,Caldwell School Loses Principal Jim Brown To Coronavirus patch.com/new-jersey/cal …,https://t.co/kLMEaGv3CM,1246225970538975235
NinaAkire,2020-04-03T23:59:59.000Z,Mask On!!!,,1246225970446524416
phoebelehan1,2020-04-03T23:59:59.000Z,It’s crazy how quickly the number jumped from 8am thus morning!,,1246225970215809024
hjalmarcito,2020-04-03T23:59:59.000Z,The Navy was blindsided by a plea for help from the coronavirus-stricken USS Theodore Roosevelt after two direct calls between the skipper and top Navy aides preceding his leaked warning.  foreignpolicy.com/2020/04/03/nav …,https://t.co/cFIjwW1NeP,1246225969997844482
bobsalpha1,2020-04-03T23:59:59.000Z,Donald Trump bragging about having sex with models during a pandemic press conference is what the voters in the heartland wanted.,,1246225968907370497
OurRevCorvallis,2020-04-03T23:59:59.000Z,"""In this unprecedented moment in modern American history, it is imperative that we respond in an unprecedented way.""  commondreams.org/news/2020/04/0 …",https://t.co/YacvqSkYQV,1246225968567480320
loveplantana6,2020-04-03T23:59:59.000Z,In all this pandemic crap.. a nice juicy indictment would make us all feel a little better!,,1246225968336904193
RJ_Wealth_Ltd,2020-04-03T23:59:59.000Z,"Top story: Trump announces new face mask recommendations after heated internal debate - CNNPolitics  cnn.com/2020/04/03/pol …, see more  tweetedtimes.com/RJ_Wealth_Ltd? …",https://t.co/Jni5CuXpYv https://t.co/SIHLtIXs71,1246225968232124416
haroonbit,2020-04-03T23:59:59.000Z,apparently its highly recommended that i wear a mask when i go outside now but where the fuck am i supposed to even get one if hospitals cant even get them,,1246225968206942210
BrianTaubertNow,2020-04-03T23:59:59.000Z,This storm will pass. It's hitting us hard and I can't stop it. And...it will inevitably end with or without my help.  In the meantime I am learning and growing during this Pandemic:   - I Love the Blessing of extra…  instagram.com/p/B-ib0UfpFdi/ …,https://t.co/Z6R9Q29UYx,1246225967963570176
GOPPollAnalyst,2020-04-03T23:59:59.000Z,Gen X is going to be the breakout star of the 2020 quarantine.  x.com/TVPComms/statu …,https://x.com/TVPComms/status/1243529467009675266,1246225967959478272
MatrixMandible,2020-04-03T23:59:59.000Z,Mario Kart 8 Deluxe (4/3/2020): Quarantine Salty Racing w/ Viewers! Let's Have Fun! Come Join & Hang Out Together! <3,,1246225967942598657
ausher8,2020-04-03T23:59:59.000Z,Elective surgeries have been cancelled. Treatment centers geared towards specific things aren't dealing with coronavirus patients. Also a lot less accidents are talking place since so many people are just staying home.,,1246225967325929472
3ellalal,2020-04-03T23:59:59.000Z,"when i come out with 10+ stick and pokes, i 100% blame it on quarantine",,1246225967263223810
newsfilterio,2020-04-03T23:59:58.000Z,UPDATE 2-Trump hosts Big Oil execs at White House to discuss market slump $XOM $CVX $OXY $CRL #coronavirus #COVID2019  newsfilter.io/articles/updat …,https://x.com/search?q=%24XOM&src=cashtag_click https://x.com/search?q=%24CVX&src=cashtag_click https://x.com/search?q=%24OXY&src=cashtag_click https://x.com/search?q=%24CRL&src=cashtag_click https://x.com/hashtag/coronavirus?src=hashtag_click https://x.com/hashtag/COVID2019?src=hashtag_click https://t.co/CNDP4MuqvZ,1246225967141523457
TauntonGayGroup,2020-04-03T23:59:58.000Z,We're having an online 2nd birthday lockdown party on facebook tomorrow!  facebook.com/events/5389606 …,https://t.co/mQykqehjLm,1246225966839578624
warmmilkok,2020-04-03T23:59:58.000Z,"Me, during quarantine: I’m gonna watch a bunch of new shows and movies and read a bunch of books and try to be productive as possible as I can from home!  Me, actually during quarantine: This seems like a perfect time to rewatch Avatar: The Last Airbender for the 7th time",,1246225966457851904
FedProm,2020-04-03T23:59:58.000Z,If we survive...we going to be wearing mask everyday I’m told. Culture Change,,1246225966374031360
artkitchen76,2020-04-03T23:59:58.000Z,Trump announces new face mask recommendations after heated internal debate cnn.com/2020/04/03/pol …,https://t.co/FVabOCH7tU,1246225965639860224
RobbieXT,2020-04-03T23:59:58.000Z,Looks like the start of covid 20,,1246225965358944258
thedr627,2020-04-03T23:59:58.000Z,"..you are a great cheerleader and I'm appreciative....BUT um uh duh uh, where is your mask?...hmmmm",,1246225965291900928
